,title,abstract,pubmed_id,publication_date,keywords,doi,last_author,id_journal
0,Genome-Wide Study of the GATL Gene Family in Gossypium hirsutum L. Reveals that GhGATL Genes Act on Pectin Synthesis to Regulate Plant Growth and Fiber Elongation.,"
Pectin is a major polysaccharide component that promotes plant growth and fiber elongation in cotton. In previous studies, the galacturonosyltransferase-like (GATL) gene family has been shown to be involved in pectin synthesis. However, few studies have been performed on cotton GATL genes. Here, a total of 33, 17, and 16 GATL genes were respectively identified in Gossypium hirsutum, Gossypium raimondii, and Gossypium arboreum. In multiple plant species, phylogenetic analysis divided GATL genes into five groups named GATL-a to GATL-e, and the number of groups was found to gradually change over evolution. Whole genome duplication (WGD) and segmental duplication played a significant role in the expansion of the GATL gene family in G. hirsutum. Selection pressure analyses revealed that GATL-a and GATL-b groups underwent a great positive selection pressure during evolution. Moreover, the expression patterns revealed that most of highly expressed GhGATL genes belong to GATL-a and GATL-b groups, which have more segmental duplications and larger positive selection value, suggesting that these genes may play an important role in the evolution of cotton plants. We overexpressed GhGATL2, GhGATL9, GhGATL12, and GhGATL15 in Arabidopsis and silenced the GhGATL15 gene in cotton through a virus induced gene silencing assay (VIGS). The transgenic and VIGS lines showed significant differences in stem diameter, epidermal hair length, stamen length, seed size, and fiber length than the control plant. In addition, the pectin content test proved that the pectin was significantly increased in the transgenic lines and reduced in VIGS plants, demonstrating that GhGATL genes have similar functions and act on the pectin synthesis to regulate plant growth and fiber elongation. In summary, we performed a comprehensive analysis of GhGATL genes in G. hirsutum including evolution, structure and function, in order to better understand GhGATL genes in cotton for further studies.
",31935825,2020-01-16 06:00:00,"GhGATL, gene, family, Gossypium, hirsutum, L., evolution, fiber, pectin, stem, diameter",10.3390/genes11010064,"Zheng, Lei",140
1,Selection and validation of reliable reference genes for Tolypocladium guangdongense gene expression analysis under differentially developmental stages and temperature stresses.,"
Tolypocladium guangdongense, formerly known as Cordyceps guangdongensis, is a widely cultivated fungus of the Cordyceps s.l. species that has been investigated over the last 12 years. It has the potential to be used in a number of applications in the health and pharmaceutical industries for it has shown its high nutritional and medicinal values according to previous animal studies. qRT-PCR (quantitative reverse transcription polymerase chain reaction) is extensively used to analyze the expression pattern and molecular mechanisms of functional genes under differentially experimental conditions. The expression stability of reference genes used for normalization determines the reliability of qRT-PCR results, indicating the importance of selection and validation of reference genes before gene expression analysis. In the present study, three statistical algorithms, geNorm, NormFinder and BestKeeper, were used for analyzing the expression stability of nineteen candidate reference genes (CRGs) in T. guangdongense. Investigation were carried out under differentially experimental conditions, which included differentially developmential stages (mycelia, primordia, young and mature fruiting bodies), different carbon sources, cold and heat stresses. The results showed that histone H4 and tubulin beta chain 2 (β-tub2) were the most and least stable genes, respectively, across all the experimental samples. Moreover, analysis of individual data sets exhibited different stability and expression profiles of reference genes. The vacuolar protein sorting gene VPS was the most stable gene expressed under the differentially developmental stages and temperature stresses, whereas H4 was the most stably expressed gene under different carbon sources. Therefore, it can be proposed that VPS and H4 are the preferred reference genes for normalization of gene expression under different experimental conditions. The results of our present study will enable more accurate evaluation of gene expression in T. guangdongense using the optimal reference gene for qRT-PCR analysis.
Copyright © 2020 Elsevier B.V. All rights reserved.
",31978511,2020-01-25 06:00:00,"Cold, and, heat, stress, Cordyceps, guangdongensis, Differential, development, stages, H4, Normalization, VPS",10.1016/j.gene.2020.144380,"Wang, Gangzheng",136
2,Validation of the Reference Genes for the Gene Expression Studies in Chicken DT40 Cell Line.,"
The selection of a suitable reference gene assures a reliable gene expression analysis when using the qPCR method. Normalization of the reaction is based on the basic metabolism genes. These genes show a constant, unregulated expression in all cells and function throughout their lifetime. In the current study, seven reference gene candidates were screened using RT-qPCR, to determine the best-matched pair of reference genes in the chicken DT40 cell line. The DT40 was derived from bursal lymphoma cells that were subjected to RAV-1 bird retroviral infection. It is a simplified in vitro model that allows tracking the direct interaction of stimulants on the lymphoid population and profiling of the hepatocellular B cell transcriptome. The reference gene analysis was carried out using statistical tools integrating four independent methods-geNorm, Best Keeper, NormFinder, delta Ct and RefFinder. Based on the selected reference genes, the relative gene expression analysis was done using the ddCt method. Complete relative gene expression study on a panel of the target genes revealed that proper selection of reference genes depending on the tissue eliminate decreases in data quality. The SDHA and RPL4 genes constitute stable internal controls as reference genes when analyzing gene expression in the DT40 cell line.
",32235512,2020-04-03 06:00:00,"chicken, B, cells, housekeeping, genes, in, vitro, qPCR, quantitative, gene, expression",10.3390/genes11040372,"Dunislawska, Aleksandra",140
3,Conventionally used reference genes are not outstanding for normalization of gene expression in human cancer research.,"
The selection of reference genes is essential for quantifying gene expression. Theoretically they should be expressed stably and not regulated by experimental or pathological conditions. However, identification and validation of reference genes for human cancer research are still being regarded as a critical point, because cancerous tissues often represent genetic instability and heterogeneity. Recent pan-cancer studies have demonstrated the importance of the appropriate selection of reference genes for use as internal controls for the normalization of gene expression; however, no stably expressed, consensus reference genes valid for a range of different human cancers have yet been identified.
In the present study, we used large-scale cancer gene expression datasets from The Cancer Genome Atlas (TCGA) database, which contains 10,028 (9,364 cancerous and 664 normal) samples from 32 different cancer types, to confirm that the expression of the most commonly used reference genes is not consistent across a range of cancer types. Furthermore, we identified 38 novel candidate reference genes for the normalization of gene expression, independent of cancer type. These genes were found to be highly expressed and highly connected to relevant gene networks, and to be enriched in transcription-translation regulation processes. The expression stability of the newly identified reference genes across 29 cancerous and matched normal tissues were validated via quantitative reverse transcription PCR (RT-qPCR).
We reveal that most commonly used reference genes in current cancer studies cannot be appropriate to serve as representative control genes for quantifying cancer-related gene expression levels, and propose in this study three potential reference genes (HNRNPL, PCBP1, and RER1) to be the most stably expressed across various cancerous and normal human tissues.
",31138119,2019-05-30 06:00:00,"Human, cancer, RT-qPCR, Reference, genes",10.1186/s12859-019-2809-2,"Jo, Jihoon",27
4,Genome-Wide Identification and Gene Expression Analysis of ABA Receptor Family Genes in Brassica juncea var. tumida.,"
Abscisic acid (ABA) plays important roles in multiple physiological processes, such as plant response to stresses and plant development. The ABA receptors pyrabactin resistance (PYR)/ PYR1-like (PYL)/regulatory components of ABA receptor (RCAR) play a crucial role in ABA perception and signaling. However, little is known about the details regarding PYL family genes in Brassica juncea var. tumida. Here, 25 PYL family genes were identified in B. juncea var. tumida genome, including BjuPYL3, BjuPYL4s, BjuPYL5s, BjuPYL6s, BjuPYL7s, BjuPYL8s, BjuPYL10s, BjuPYL11s, and BjuPYL13. The results of phylogenic analysis and gene structure showed that the PYL family genes performed similar gene characteristics. By analyzing cis-elements in the promoters of those BjuPYLs, several hormone and stress related cis-elements were found. The results of gene expression analysis showed that the ABA receptor homologous genes were induced by abiotic and biotic stress. The tissue-specific gene expression patterns of BjuPYLs also suggested those genes might regulate the stem swelling during plant growth. These findings indicate that BjuPYLs are involved in plant response to stresses and organ development. This study provides valuable information for further functional investigations of PYL family genes in B. juncea var. tumida.
",31226871,2019-06-23 06:00:00,"ABA, receptor, BjuPYLs, Brassica, juncea, var., tumida, gene, expression, genome-wide",10.3390/genes10060470,"Cheng, Chunhong",140
5,Screening the Reference Genes for Quantitative Gene Expression by RT-qPCR During SE Initial Dedifferentiation in Four Gossypium hirsutum Cultivars that Have Different SE Capability.,"
RNA sequencing (RNA-Seq)-based gene expression analysis is applicable to a wide range of biological purposes in various species. Reverse transcription quantitative PCR (RT-qPCR) is also used to assess target gene expression utilizing stably expressed reference genes as internal control under a given set of conditions. However, investigations of the reference genes for RT-qPCR normalization in the process of somatic embryogenesis (SE) initial dedifferentiation in Gossypium hirsutum are rarely reported. In this study, on the basis of our previous transcriptome data of three different induction stages during SE initial dedifferentiation process in four G. hirsutum cultivars that have different SE capability, 15 candidate genes were selected during SE initial dedifferentiation process, and their expression stability was evaluated by geNorm, NormFinder, and BestKeeper. The results indicated that the two genes of endonuclease 4 (ENDO4) and 18S ribosomal RNA (18S rRNA) showed stable expression in the four different G. hirsutum cultivars, endowing them to be appropriate reference genes during three induction stages in the four cotton cultivars. In addition, the stability and reliability of the two reference genes of ENDO4 and 18S rRNA were further verified by comparing the expressions of auxin-responsive protein 22 (AUX22) and ethylene-responsive transcription factor 17 (ERF17) between RT-qPCR results and the RNA-seq data, which showed strong positive correlation coefficient (R2 = 0.8396-0.9984), validating again the steady expression of ENDO4 and 18S rRNA as the reliable reference genes. Our results provide effective reference genes for RT-qPCR normalization during SE process in different G. hirsutum cultivars.
",31261792,2019-07-03 06:00:00,"Gossypium, hirsutum, RT-qPCR, quantitative, gene, expression, reference, gene, somatic, embryogenesis",10.3390/genes10070497,"Cao, Aiping",140
6,Common Nevus and Skin Cutaneous Melanoma: Prognostic Genes Identified by Gene Co-Expression Network Analysis.,"
Skin cutaneous melanoma (SCM) is a common malignant tumor of the skin and its pathogenesis still needs to be studied. In this work, we constructed a co-expression network and screened for hub genes by weighted gene co-expression network analysis (WGCNA) using the GSE98394 dataset. The relationship between the mRNA expression of hub genes and the prognosis of patients with melanoma was validated by Gene Expression Profiling Interactive Analysis (GEPIA) database. Furthermore, immunohistochemistry in the Human Protein Atlas was used to validate hub genes and grayscale analysis was performed using ImageJ software. It was found that the yellow module was most significantly associated with the difference between common nevus and SCM, and 13 genes whose expression correlation >0.9 were candidate hub genes. The expression of three genes (STK26, KCNT2, CASP12) was correlated with the prognosis of SCM. STK26 (P = 0.0024) and KCNT2 (P < 0.0001) were significantly different between normal skin and SCM. These three hub genes have potential value as predictors for accurate diagnosis and prognosis of SCM in the future.
",31557882,2019-09-29 06:00:00,"GSE98394, common, nevus, prognostic, genes, skin, cutaneous, melanoma, weighted, gene, co-expression, network, analysis, (WGCNA)",10.3390/genes10100747,"Yang, Lingge",140
7,Identification of Key Genes and Pathways in Pancreatic Cancer Gene Expression Profile by Integrative Analysis.,"
Pancreatic cancer is one of the malignant tumors that threaten human health.
The gene expression profiles of GSE15471, GSE19650, GSE32676 and GSE71989 were downloaded from the gene expression omnibus database including pancreatic cancer and normal samples. The differentially expressed genes between the two types of samples were identified with the Limma package using R language. The gene ontology functional and pathway enrichment analyses of differentially-expressed genes were performed by the DAVID software followed by the construction of a protein-protein interaction network. Hub gene identification was performed by the plug-in cytoHubba in cytoscape software, and the reliability and survival analysis of hub genes was carried out in The Cancer Genome Atlas gene expression data.
The 138 differentially expressed genes were significantly enriched in biological processes including cell migration, cell adhesion and several pathways, mainly associated with extracellular matrix-receptor interaction and focal adhesion pathway in pancreatic cancer. The top hub genes, namely thrombospondin 1, DNA topoisomerase II alpha, syndecan 1, maternal embryonic leucine zipper kinase and proto-oncogene receptor tyrosine kinase Met were identified from the protein-protein interaction network. The expression levels of hub genes were consistent with data obtained in The Cancer Genome Atlas. DNA topoisomerase II alpha, syndecan 1, maternal embryonic leucine zipper kinase and proto-oncogene receptor tyrosine kinase Met were significantly linked with poor survival in pancreatic adenocarcinoma.
These hub genes may be used as potential targets for pancreatic cancer diagnosis and treatment.
",31412643,2019-08-16 06:00:00,"bioinformatics, gene, expression, hub, gene, pancreatic, cancer",10.3390/genes10080612,"Lu, Wenzong",140
8,Digital gene expression profiling of flax (Linum usitatissimum L.) stem peel identifies genes enriched in fiber-bearing phloem tissue.,"
To better understand the molecular mechanisms and gene expression characteristics associated with development of bast fiber cell within flax stem phloem, the gene expression profiling of flax stem peels and leaves were screened, using Illumina's Digital Gene Expression (DGE) analysis. Four DGE libraries (2 for stem peel and 2 for leaf), ranging from 6.7 to 9.2 million clean reads were obtained, which produced 7.0 million and 6.8 million mapped reads for flax stem peel and leave, respectively. By differential gene expression analysis, a total of 975 genes, of which 708 (73%) genes have protein-coding annotation, were identified as phloem enriched genes putatively involved in the processes of polysaccharide and cell wall metabolism. Differential expression genes (DEGs) was validated using quantitative RT-PCR, the expression pattern of all nine genes determined by qRT-PCR fitted in well with that obtained by sequencing analysis. Cluster and Gene Ontology (GO) analysis revealed that a large number of genes related to metabolic process, catalytic activity and binding category were expressed predominantly in the stem peels. The Kyoto Encyclopedia of Genes and Genomes (KEGG) analysis of the phloem enriched genes suggested approximately 111 biological pathways. The large number of genes and pathways produced from DGE sequencing will expand our understanding of the complex molecular and cellular events in flax bast fiber development and provide a foundation for future studies on fiber development in other bast fiber crops.
Copyright © 2017 Elsevier B.V. All rights reserved.
",28479385,2017-05-10 06:00:00,"Bast, fiber, Digital, gene, expression, Flax, Linum, usitatissimum, L., Phloem",10.1016/j.gene.2017.05.002,"Guo, Yuan",136
9,Determination of Suitable RT-qPCR Reference Genes for Studies of Gene Functions in Laodelphax striatellus (Fallén).,"
The reverse transcription quantitative polymerase chain reaction (RT-qPCR) has been widely used to determine gene functions in Laodelphax striatellus (Fallén) (small brown planthopper). Selection of suitable reference gene(s) for normalizations of RT-qPCR data is critical for reliable results. To date, reports on identification of suitable L. striatellus reference genes are still very limited. L. striatellus is a destructive rice pest and it can transmit multiple viruses, including Rice black-streaked dwarf virus (RBSDV), Rice stripe virus (RSV), and Maize rough dwarf virus (MRDV), to many important cereal crops worldwide. In this study, we examined the stablity of seven selected candidate reference genes in L. striatellus at different developmental stages, in different tissues, in RBSDV- or RSV-infected L. striatellus or in RBSDV-infected and Lssynaptojanin 1 (LsSYNJ1)-silenced L. striatellus. The RT-qPCR data representing individual candidate genes were analyzed using five different methods: the delta Ct method, geNorm, NormFinder, BestKeeper, and the RefFinder algorithm, respectively. The most stable reference gene for the specific condition was selected according to a comprehensive analysis using the RefFinder method. Ribosomal protein L5 (LsRPL5) and LsRPL8 are the most stably expressed genes in L. striatellus at different developmental stages. Alpha-1-tubulin (Lsα-TUB) is the most stably expressed reference gene in different tissues of RBSDV viruliferous (RBSDV-V) or non-viruliferous (RBSDV-NV) L. striatellus. LsRPL8 is the most stably expressed reference gene in RBSDV-V or RSV viruliferous (RSV-V) L. striatellus, while beta-tubulin (Lsβ-TUB) is the most stably expressed reference gene in RBSDV-V and LsSYNJ1-silenced L. striatellus. The selected reference genes were further investigated during analyses of RBSDV P5-1 and P10 gene expression in different tissues from RBSDV-V or RBSDV-NV L. striatellus. The stably expressed reference genes identified in this study will benefit future gene function studies using L. striatellus.
",31689985,2019-11-07 06:00:00,"Laodelphax, striatellus, RT-qPCR, reference, gene, rice, black-streaked, dwarf, virus, rice, stripe, virus",10.3390/genes10110887,"Wu, Wei",140
10,Patenting human genes: Chinese academic articles' portrayal of gene patents.,"
The patenting of human genes has been the subject of debate for decades. While China has gradually come to play an important role in the global genomics-based testing and treatment market, little is known about Chinese scholars' perspectives on patent protection for human genes.
A content analysis of academic literature was conducted to identify Chinese scholars' concerns regarding gene patents, including benefits and risks of patenting human genes, attitudes that researchers hold towards gene patenting, and any legal and policy recommendations offered for the gene patent regime in China.
57.2% of articles were written by law professors, but scholars from health sciences, liberal arts, and ethics also participated in discussions on gene patent issues. While discussions of benefits and risks were relatively balanced in the articles, 63.5% of the articles favored gene patenting in general and, of the articles (n = 41) that explored gene patents in the Chinese context, 90.2% supported patent protections for human genes in China. The patentability of human genes was discussed in 33 articles, and 75.8% of these articles reached the conclusion that human genes are patentable.
Chinese scholars view the patent regime as an important legal tool to protect the interests of inventors and inventions as well as the genetic resources of China. As such, many scholars support a gene patent system in China. These attitudes towards gene patents remain unchanged following the court ruling in the Myriad case in 2013, but arguments have been raised about the scope of gene patents, in particular that the increasing numbers of gene patents may negatively impact public health in China.
",29699570,2018-04-28 06:00:00,"Chinese, scholars, Human, gene, patents, Patentability",10.1186/s12910-018-0271-8,"Du, Li",36
11,Selection of Suitable Reference Genes for RT-qPCR Gene Expression Analysis in Siberian Wild Rye (Elymus sibiricus) under Different Experimental Conditions.,"
Elymus sibiricus, which is a perennial and self-pollinated grass, is the typical species of the genus Elymus, which plays an important role in forage production and ecological restoration. No reports have, so far, systematically described the selection of optimal reference genes for reverse transcriptase quantitative real-time polymerase chain reaction (RT-qPCR) analysis in E. sibiricus. The goals of this study were to evaluate the expression stability of 13 candidate reference genes in different experimental conditions, and to determine the appropriate reference genes for gene expression analysis in E. sibiricus. Five methods including Delta Ct (ΔCt), BestKeeper, NormFinder, geNorm, and RefFinder were used to assess the expression stability of 13 potential reference genes. The results of the RefFinder analysis showed that TBP2 and HIS3 were the most stable reference genes in different genotypes. TUA2 and PP2A had the most stable expression in different developmental stages. TBP2 and PP2A were suitable reference genes in different tissues. Under salt stress, ACT2 and TBP2 were identified as the most stable reference genes. ACT2 and TUA2 showed the most stability under heat stress. For cold stress, PP2A and ACT2 presented the highest degree of expression stability. DNAJ and U2AF were considered as the most stable reference genes under osmotic stress. The optimal reference genes were selected to investigate the expression pattern of target gene CSLE6 in different conditions. This study provides suitable reference genes for further gene expression analysis using RT-qPCR in E. sibiricus.
",31200580,2019-06-16 06:00:00,"Elymus, sibiricus, experimental, conditions, expression, stability, reference, genes, reverse, transcriptase, quantitative, real-time, polymerase, chain, reaction, (RT-qPCR)",10.3390/genes10060451,"Zhang, Junchao",140
12,Weighted Gene Correlation Network Meta-Analysis Reveals Functional Candidate Genes Associated with High- and Sub-Fertile Reproductive Performance in Beef Cattle.,"
Improved reproductive efficiency could lead to economic benefits for the beef industry, once the intensive selection pressure has led to a decreased fertility. However, several factors limit our understanding of fertility traits, including genetic differences between populations and statistical limitations. In the present study, the RNA-sequencing data from uterine samples of high-fertile (HF) and sub-fertile (SF) animals was integrated using co-expression network meta-analysis, weighted gene correlation network analysis, identification of upstream regulators, variant calling, and network topology approaches. Using this pipeline, top hub-genes harboring fixed variants (HF × SF) were identified in differentially co-expressed gene modules (DcoExp). The functional prioritization analysis identified the genes with highest potential to be key-regulators of the DcoExp modules between HF and SF animals. Consequently, 32 functional candidate genes (10 upstream regulators and 22 top hub-genes of DcoExp modules) were identified. These genes were associated with the regulation of relevant biological processes for fertility, such as embryonic development, germ cell proliferation, and ovarian hormone regulation. Additionally, 100 candidate variants (single nucleotide polymorphisms (SNPs) and insertions and deletions (INDELs)) were identified within those genes. In the long-term, the results obtained here may help to reduce the frequency of subfertility in beef herds, reducing the associated economic losses caused by this condition.
",32408659,2020-05-16 06:00:00,"RNA-sequencing, beef, cattle, functional, candidate, genes, gene, network, meta-analysis, subfertility, systems, biology",10.3390/genes11050543,"Fonseca, Pablo A S",140
